"year","month","credate","Ward","Police.District","Community.Area","Latitude","Longitude"
2015,9,2015-09-01,3,9,37,41.7958353436477,-87.6328878558468
2015,9,2015-09-01,49,24,1,42.0144969991298,-87.6782241641768
2015,9,2015-09-01,27,12,28,41.8854423657468,-87.6668084258852
2015,9,2015-09-02,4,2,36,41.8181609839326,-87.6008847868268
2015,9,2015-09-02,5,3,43,41.7677976230384,-87.5858199182323
2015,9,2015-09-02,26,12,24,41.8972818978542,-87.6870274804251
2015,9,2015-09-02,20,3,40,41.7845939754822,-87.6220577822531
2015,9,2015-09-02,49,24,1,42.0175216099636,-87.6683362758693
2015,9,2015-09-02,10,4,46,41.7369825871637,-87.5488199384152
2015,9,2015-09-02,20,9,61,41.8067379533366,-87.661418765573
2015,9,2015-09-02,29,15,25,41.8775863869898,-87.7688884666772
2015,9,2015-09-01,38,16,17,41.9505836102249,-87.7768372611162
2015,9,2015-09-01,17,8,66,41.777066486942,-87.7010706781132
2015,9,2015-09-01,13,8,62,41.7866589430693,-87.7329164557037
2015,9,2015-09-01,50,24,2,42.0111547876434,-87.6875186355796
2015,9,2015-09-01,16,8,66,41.7732200118256,-87.6857713331212
2015,9,2015-09-01,16,8,66,41.7732200118256,-87.6857713331212
2015,9,2015-09-01,37,11,23,41.8958415812721,-87.7308834698918
2015,9,2015-09-01,42,18,8,41.8924576938839,-87.6221880135817
2015,9,2015-09-01,35,14,22,41.9309332556606,-87.7139935878758
2015,9,2015-09-01,20,7,69,41.7746575226659,-87.6291379674771
2015,9,2015-09-01,25,12,31,41.8540066799896,-87.6678845209237
2015,9,2015-09-01,44,19,6,41.9446443268208,-87.6541037823688
2015,9,2015-09-01,16,8,66,41.7732200118256,-87.6857713331212
2015,9,2015-09-01,29,15,25,41.8775863869898,-87.7688884666772
2015,9,2015-09-01,29,15,25,41.8775863869898,-87.7688884666772
2015,9,2015-09-01,29,15,25,41.8775863869898,-87.7688884666772
2015,9,2015-09-01,39,17,14,41.9703988399725,-87.7430383698294
2015,9,2015-09-01,39,17,14,41.9703988399725,-87.7430383698294
2015,9,2015-09-01,23,8,65,41.7795072543973,-87.7196731767171
2015,9,2015-09-01,22,10,30,41.8459645591366,-87.7296146620603
2015,9,2015-09-01,29,25,18,41.9309273579211,-87.8010721145696
2015,9,2015-09-01,29,15,25,41.8775863869898,-87.7688884666772
2015,9,2015-09-01,23,8,62,41.7972527781647,-87.7218541806493
2015,9,2015-09-01,2,14,24,41.9084259824476,-87.6711046093232
2015,9,2015-09-03,17,6,71,41.7486077459279,-87.6662180518785
2015,9,2015-09-03,35,14,21,41.9369712368904,-87.7125628062634
2015,9,2015-09-03,28,11,26,41.8768472938602,-87.7360772197928
2015,9,2015-09-03,7,3,43,41.760768052625,-87.5778720690354
2015,9,2015-09-03,36,16,15,41.9465120139913,-87.7641708288923
2015,9,2015-09-03,15,8,63,41.7917653743418,-87.6935142177984
2015,9,2015-09-03,34,22,73,41.7104168588547,-87.6476419666941
2015,9,2015-09-02,45,17,15,41.9581058270304,-87.7462472540707
2015,9,2015-09-02,44,19,6,41.9434576135298,-87.642561993092
2015,9,2015-09-02,38,16,15,41.9568402099825,-87.7746758518832
2015,9,2015-09-02,41,16,9,41.999439418096,-87.812087727931
2015,9,2015-09-02,33,14,21,41.938556153968,-87.7033449869789
2015,9,2015-09-02,11,9,60,41.8240333531237,-87.6436520900194
2015,9,2015-09-02,19,22,72,41.7077253035322,-87.6769718120806
2015,9,2015-09-01,6,7,67,41.761460814674,-87.6584708497383
2015,9,2015-09-01,45,16,15,41.9570816731186,-87.755422313975
2015,9,2015-09-01,11,9,60,41.8386728143401,-87.662392176208
2015,9,2015-09-01,39,17,14,41.9707588092206,-87.7414516502133
2015,9,2015-09-03,38,16,17,41.9508758516595,-87.8052199123152
2015,9,2015-09-03,11,12,31,41.8586540957973,-87.6420439396641
2015,9,2015-09-02,40,20,77,41.9781210829221,-87.6689248238937
2015,9,2015-09-02,39,17,14,41.9704819971005,-87.744248351096
2015,9,2015-09-02,49,24,1,42.0221498779313,-87.6697770514778
2015,9,2015-09-01,50,24,2,42.0068427845906,-87.6957588124366
2015,9,2015-09-01,40,20,4,41.9736801338096,-87.688017088616
2015,9,2015-09-01,47,19,5,41.9579674067221,-87.6749983466057
2015,9,2015-09-08,18,8,70,41.7398389420888,-87.7037547843386
2015,9,2015-09-08,19,22,75,41.6917201525793,-87.6773600635702
2015,9,2015-09-08,42,18,8,41.8924576938839,-87.6221880135817
2015,9,2015-09-08,40,20,4,41.9739175395274,-87.6929668401501
2015,9,2015-09-08,40,20,4,41.9739175395274,-87.6929668401501
2015,9,2015-09-08,38,16,76,41.9466676742613,-87.8366449848517
2015,9,2015-09-07,49,24,1,42.0033795880553,-87.6646234246724
2015,9,2015-09-07,21,6,71,41.7416345217735,-87.6548582167582
2015,9,2015-09-07,38,16,17,41.950198250968,-87.7770245840582
2015,9,2015-09-07,8,3,43,41.7595772449829,-87.5851936062284
2015,9,2015-09-07,20,9,61,41.8056135799986,-87.6610954772807
2015,9,2015-09-07,16,9,61,41.7944696943483,-87.6683890842749
2015,9,2015-09-07,16,9,61,41.7945264896943,-87.6683905016306
2015,9,2015-09-07,44,19,6,41.9445309990404,-87.6423370700967
2015,9,2015-09-07,45,16,11,41.9782160640305,-87.7670617969893
2015,9,2015-09-07,11,9,60,41.8320841806076,-87.6414103227789
2015,9,2015-09-06,1,14,24,41.9133902609852,-87.6993253709194
2015,9,2015-09-06,1,14,24,41.9072332558764,-87.6906807329007
2015,9,2015-09-06,24,11,26,41.8698963094314,-87.7369938924409
2015,9,2015-09-06,48,20,77,41.9775480107052,-87.6634420692849
2015,9,2015-09-06,40,20,77,41.9781210829221,-87.6689248238937
2015,9,2015-09-06,1,14,24,41.9108586230732,-87.6931911204908
2015,9,2015-09-06,11,9,34,41.8460966353765,-87.6347697785963
2015,9,2015-09-05,4,2,36,41.8181609839326,-87.6008847868268
2015,9,2015-09-05,9,5,53,41.6741892858261,-87.6224386809676
2015,9,2015-09-05,18,8,66,41.7593506900295,-87.6822121697367
2015,9,2015-09-05,34,22,73,41.710354267699,-87.6479334048247
2015,9,2015-09-05,38,16,15,41.9495487323366,-87.7744787927996
2015,9,2015-09-06,49,24,1,42.0033795880553,-87.6646234246724
2015,9,2015-09-04,16,8,66,41.7732200118256,-87.6857713331212
2015,9,2015-09-04,23,8,65,41.7822608673313,-87.7181535579504
2015,9,2015-09-04,6,6,44,41.7437154836479,-87.6139106555797
2015,9,2015-09-04,12,9,59,41.8245000479453,-87.6749773500065
2015,9,2015-09-04,17,6,71,41.7493690359899,-87.6672036170036
2015,9,2015-09-04,33,17,14,41.9633613702744,-87.6999005716512
2015,9,2015-09-04,3,2,38,41.8200590239946,-87.6215852028495
2015,9,2015-09-04,40,20,3,41.9745776596408,-87.6742193658404
2015,9,2015-09-03,30,16,15,41.9433064284605,-87.7569817535974
2015,9,2015-09-03,33,17,21,41.9458724323138,-87.7065133322058
