,Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#,LON,LAT
2,Theft from Motor Vehicle,60th between Ingleside & Ellis,7/1/10 2:48 PM,6/29/10 to 7/1/10 5:30 PM to 12:30 PM,Unknown person smashed rear passenger's side window of vehicle parked on the street and took a GPS device,Open,W0733,-87.60199785012081,41.785898602882476
3,Theft,60th & Ellis,7/1/10 3:13 PM,6/23/10 to 6/29/10 9:00 AM to 5:00 PM,Bicycle taken from bike rack,Open,W0734,-87.6011825,41.7859081
11,Theft,5530 S. Ellis ,7/3/10 5:12 PM,7/3/10 4:00 PM to 5:00 PM,"Unknown person took duffel bag, keys, and miscellaneous articles from a locked gym locker / Lock also taken",Open,W0743,-87.60162840000001,41.794474
15,Theft from Motor Vehicle,Midway Pl. between Cottage Grove & Drexel,7/5/10 12:12 PM,7/5/10 7:00 AM to 11:45 AM,Unknown person smashed passenger's side vent window of car parked on the street and took a GPS device,Open,W0747,-87.6179097400446,41.83226251204864
18,Theft,5801 S. Ellis ,7/6/10 13:13,7/6/10 11:15,Unknown person took unattended Echo gas hedge trimmer from the bed of a Facilities ATV,Open,W0751,-87.60091480000001,41.7895697
19,Theft,5811 S. Ellis ,7/6/10 13:16,7/6/10 12:35 PM to 12:55 PM,Unknown person took an unattended Mac Book Pro laptop computer from a study pod,Open,W0752,-87.600948,41.7889636
22,Theft,5640 S. University ,7/6/10 21:36,7/2/10 to 7/6/10 4:00 PM to 6:15 PM,Bicycle chained to bike rack taken,Open,W0755,-87.59822439999998,41.7925325
26,Theft,1101 E. 57th St. ,7/7/10 1:22 PM,7/7/10 11:00 AM to 12:45 PM,Unknown person entered an unlocked room and removed a MacBook computer from a cable lock,Open,W0760,-87.59919649999998,41.7913839
27,Theft from Motor Vehicle,Hyde Park between 55th & 56th,7/7/10 6:17 PM,7/4/10 to 7/7/10  11:00 PM to 6:00 PM,Unknown person smashed window of car parked on the street and took a 35 lb. bag of dog food,Open,W0761,-87.58392149976645,41.7943063000012
42,Theft,5721 S. Maryland ,7/12/10 7:37 AM,7/9/10 2:00 PM to 7/12/10 5:30 AM,Unknown person took17 files  from a file cabinet,Open,W0776,-87.6046094,41.7902271
48,Theft,6030 S. Ellis ,7/14/10 10:43 AM,7/13/10 2:00 PM to 4:00 PM,Unknown person entered unsecured office and took unattended wallet left on a desk,Open,W0782,-87.6015846,41.7848778
50,Theft,5706 S. University ,7/14/10 6:23 PM,7/13/10 to 7/14/10 6:30 PM to 10:00 AM,Three keys to the facility taken from an unattended key ring left in a mail box,Open,W0784,-87.59826329999999,41.7909142
52,Theft,5550 S. University ,7/15/10 12:51 PM,7/15/10 9:45 AM to 12:45 PM,Bicycle chained to bike rack taken by unknown person,Open,W0786,-87.598936,41.793561100000005
